receipt_id,action,detail
24090099,replace,"1 existing edit_history row(s)"
24090101,replace,"1 existing edit_history row(s)"
24090102,replace,"1 existing edit_history row(s)"
24090103,replace,"1 existing edit_history row(s)"
24090104,replace,"1 existing edit_history row(s)"
24090105,replace,"1 existing edit_history row(s)"
24090109,replace,"1 existing edit_history row(s)"
24090110,replace,"1 existing edit_history row(s)"
24090111,replace,"1 existing edit_history row(s)"
24090112,replace,"1 existing edit_history row(s)"
24090113,replace,"1 existing edit_history row(s)"
24090115,replace,"1 existing edit_history row(s)"
24090116,replace,"1 existing edit_history row(s)"
24090117,replace,"1 existing edit_history row(s)"
24090122,replace,"1 existing edit_history row(s)"
24090124,replace,"1 existing edit_history row(s)"
24090126,replace,"1 existing edit_history row(s)"
24090127,replace,"1 existing edit_history row(s)"
24090128,replace,"1 existing edit_history row(s)"
24090136,replace,"1 existing edit_history row(s)"
24090140,replace,"1 existing edit_history row(s)"
24090144,replace,"1 existing edit_history row(s)"
24090149,replace,"1 existing edit_history row(s)"
24090153,replace,"1 existing edit_history row(s)"
24090155,replace,"1 existing edit_history row(s)"
24090157,replace,"1 existing edit_history row(s)"
24090158,replace,"1 existing edit_history row(s)"
24090159,replace,"1 existing edit_history row(s)"
24090160,replace,"1 existing edit_history row(s)"
24090161,replace,"1 existing edit_history row(s)"
24090163,replace,"1 existing edit_history row(s)"
24090164,replace,"1 existing edit_history row(s)"
24090166,replace,"1 existing edit_history row(s)"
24090168,replace,"1 existing edit_history row(s)"
24090170,replace,"1 existing edit_history row(s)"
24090175,replace,"1 existing edit_history row(s)"
24090177,replace,"1 existing edit_history row(s)"
24090182,replace,"1 existing edit_history row(s)"
24090183,replace,"1 existing edit_history row(s)"
24090185,replace,"1 existing edit_history row(s)"
24090187,replace,"1 existing edit_history row(s)"
24090189,replace,"1 existing edit_history row(s)"
24090191,replace,"1 existing edit_history row(s)"
24090192,replace,"1 existing edit_history row(s)"
24090193,replace,"1 existing edit_history row(s)"
24090196,replace,"1 existing edit_history row(s)"
24090200,replace,"1 existing edit_history row(s)"
24090202,replace,"1 existing edit_history row(s)"
24090203,replace,"1 existing edit_history row(s)"
24090204,replace,"1 existing edit_history row(s)"
24090205,replace,"1 existing edit_history row(s)"
24090206,replace,"1 existing edit_history row(s)"
24090207,replace,"1 existing edit_history row(s)"
24090208,replace,"1 existing edit_history row(s)"
24090209,replace,"1 existing edit_history row(s)"
24090213,replace,"1 existing edit_history row(s)"
24090214,replace,"1 existing edit_history row(s)"
24090216,replace,"1 existing edit_history row(s)"
24090217,replace,"1 existing edit_history row(s)"
24090218,replace,"1 existing edit_history row(s)"
24090219,replace,"1 existing edit_history row(s)"
24090220,replace,"1 existing edit_history row(s)"
24090221,replace,"1 existing edit_history row(s)"
24090225,replace,"1 existing edit_history row(s)"
24090226,replace,"1 existing edit_history row(s)"
24090229,replace,"1 existing edit_history row(s)"
24090233,replace,"1 existing edit_history row(s)"
24090234,replace,"1 existing edit_history row(s)"
24090235,replace,"1 existing edit_history row(s)"
24090238,replace,"1 existing edit_history row(s)"
24090243,replace,"1 existing edit_history row(s)"
24090244,replace,"1 existing edit_history row(s)"
24090246,replace,"1 existing edit_history row(s)"
24090248,replace,"1 existing edit_history row(s)"
24090250,replace,"1 existing edit_history row(s)"
24090254,replace,"1 existing edit_history row(s)"
24090256,replace,"1 existing edit_history row(s)"
24090257,replace,"1 existing edit_history row(s)"
24090258,replace,"1 existing edit_history row(s)"
24090270,replace,"1 existing edit_history row(s)"
24090273,replace,"1 existing edit_history row(s)"
24090278,replace,"1 existing edit_history row(s)"
24090289,replace,"1 existing edit_history row(s)"
24090292,replace,"1 existing edit_history row(s)"
24090293,replace,"1 existing edit_history row(s)"
24090297,replace,"1 existing edit_history row(s)"
24090299,replace,"1 existing edit_history row(s)"
24090300,replace,"1 existing edit_history row(s)"
24090301,replace,"1 existing edit_history row(s)"
24090302,replace,"1 existing edit_history row(s)"
24090304,replace,"1 existing edit_history row(s)"
24090306,replace,"1 existing edit_history row(s)"
24090308,replace,"1 existing edit_history row(s)"
24090309,replace,"1 existing edit_history row(s)"
24090317,replace,"1 existing edit_history row(s)"
24090318,replace,"1 existing edit_history row(s)"
24090319,replace,"1 existing edit_history row(s)"
24090320,replace,"1 existing edit_history row(s)"
24090322,replace,"1 existing edit_history row(s)"
24090323,replace,"1 existing edit_history row(s)"
24090325,replace,"1 existing edit_history row(s)"
24090327,replace,"1 existing edit_history row(s)"
24090329,replace,"1 existing edit_history row(s)"
24090331,replace,"1 existing edit_history row(s)"
24090333,replace,"1 existing edit_history row(s)"
24090336,replace,"1 existing edit_history row(s)"
24090340,replace,"1 existing edit_history row(s)"
24090342,replace,"1 existing edit_history row(s)"
24090343,replace,"1 existing edit_history row(s)"
24090346,replace,"1 existing edit_history row(s)"
24090352,replace,"1 existing edit_history row(s)"
24090354,replace,"1 existing edit_history row(s)"
24090359,replace,"1 existing edit_history row(s)"
24090360,replace,"1 existing edit_history row(s)"
24090363,replace,"1 existing edit_history row(s)"
24090365,replace,"1 existing edit_history row(s)"
24090366,replace,"1 existing edit_history row(s)"
24090367,replace,"1 existing edit_history row(s)"
24090368,replace,"1 existing edit_history row(s)"
24090370,replace,"1 existing edit_history row(s)"
24090372,replace,"1 existing edit_history row(s)"
24090374,replace,"1 existing edit_history row(s)"
24090375,replace,"1 existing edit_history row(s)"
24090377,replace,"1 existing edit_history row(s)"
24090387,replace,"1 existing edit_history row(s)"
24090395,replace,"1 existing edit_history row(s)"
24090400,replace,"1 existing edit_history row(s)"
24090405,replace,"1 existing edit_history row(s)"
24090406,replace,"1 existing edit_history row(s)"
24090412,replace,"1 existing edit_history row(s)"
24090417,replace,"1 existing edit_history row(s)"
24090424,replace,"1 existing edit_history row(s)"
24090425,replace,"1 existing edit_history row(s)"
24090426,replace,"1 existing edit_history row(s)"
24090428,replace,"1 existing edit_history row(s)"
24090429,replace,"1 existing edit_history row(s)"
24090433,replace,"1 existing edit_history row(s)"
24090434,replace,"1 existing edit_history row(s)"
24090437,replace,"1 existing edit_history row(s)"
24090438,replace,"1 existing edit_history row(s)"
24090439,replace,"1 existing edit_history row(s)"
24090442,replace,"1 existing edit_history row(s)"
24090444,replace,"1 existing edit_history row(s)"
24090446,replace,"1 existing edit_history row(s)"
24090447,replace,"1 existing edit_history row(s)"
24090448,replace,"1 existing edit_history row(s)"
24090449,replace,"1 existing edit_history row(s)"
24090451,replace,"1 existing edit_history row(s)"
24090458,replace,"1 existing edit_history row(s)"
24090461,replace,"1 existing edit_history row(s)"
24090466,replace,"1 existing edit_history row(s)"
24090467,replace,"1 existing edit_history row(s)"
24090468,replace,"1 existing edit_history row(s)"
24090469,replace,"1 existing edit_history row(s)"
24090474,replace,"1 existing edit_history row(s)"
24090475,replace,"1 existing edit_history row(s)"
24090476,replace,"1 existing edit_history row(s)"
24090477,replace,"1 existing edit_history row(s)"
24090478,replace,"1 existing edit_history row(s)"
24090479,replace,"1 existing edit_history row(s)"
24090480,replace,"1 existing edit_history row(s)"
24090484,replace,"1 existing edit_history row(s)"
24090489,replace,"1 existing edit_history row(s)"
24090490,replace,"1 existing edit_history row(s)"
24090493,replace,"1 existing edit_history row(s)"
24090495,replace,"1 existing edit_history row(s)"
24090496,replace,"1 existing edit_history row(s)"
24090497,replace,"1 existing edit_history row(s)"
24090498,replace,"1 existing edit_history row(s)"
24090499,replace,"1 existing edit_history row(s)"
24090512,replace,"1 existing edit_history row(s)"
24090514,replace,"1 existing edit_history row(s)"
24090517,replace,"1 existing edit_history row(s)"
24090527,replace,"1 existing edit_history row(s)"
24090528,replace,"1 existing edit_history row(s)"
24090529,replace,"1 existing edit_history row(s)"
24090530,replace,"1 existing edit_history row(s)"
24090531,replace,"1 existing edit_history row(s)"
24090533,replace,"1 existing edit_history row(s)"
24090534,replace,"1 existing edit_history row(s)"
24090535,replace,"1 existing edit_history row(s)"
24090536,replace,"1 existing edit_history row(s)"
24090542,replace,"1 existing edit_history row(s)"
24090544,replace,"1 existing edit_history row(s)"
24090545,replace,"1 existing edit_history row(s)"
24090551,replace,"1 existing edit_history row(s)"
24090552,replace,"1 existing edit_history row(s)"
24090559,replace,"1 existing edit_history row(s)"
24090564,replace,"1 existing edit_history row(s)"
24090566,replace,"1 existing edit_history row(s)"
24090569,replace,"1 existing edit_history row(s)"
24090570,replace,"1 existing edit_history row(s)"
24090576,replace,"1 existing edit_history row(s)"
24090577,replace,"1 existing edit_history row(s)"
24090578,replace,"1 existing edit_history row(s)"
24090582,replace,"1 existing edit_history row(s)"
24090583,replace,"1 existing edit_history row(s)"
24090588,replace,"1 existing edit_history row(s)"
24090591,replace,"1 existing edit_history row(s)"
24090595,replace,"1 existing edit_history row(s)"
24090596,replace,"1 existing edit_history row(s)"
24090597,replace,"1 existing edit_history row(s)"
24090598,replace,"1 existing edit_history row(s)"
24090599,replace,"1 existing edit_history row(s)"
24090601,replace,"1 existing edit_history row(s)"
24090602,replace,"1 existing edit_history row(s)"
24090603,replace,"1 existing edit_history row(s)"
24090605,replace,"1 existing edit_history row(s)"
24090616,replace,"1 existing edit_history row(s)"
24090617,replace,"1 existing edit_history row(s)"
24090622,replace,"1 existing edit_history row(s)"
24090625,replace,"1 existing edit_history row(s)"
24090626,replace,"1 existing edit_history row(s)"
24090627,replace,"1 existing edit_history row(s)"
24090628,replace,"1 existing edit_history row(s)"
24090629,replace,"1 existing edit_history row(s)"
24090630,replace,"1 existing edit_history row(s)"
24090631,replace,"1 existing edit_history row(s)"
24090633,replace,"1 existing edit_history row(s)"
24090634,replace,"1 existing edit_history row(s)"
24090638,replace,"1 existing edit_history row(s)"
24090640,replace,"1 existing edit_history row(s)"
24090657,replace,"1 existing edit_history row(s)"
24090664,replace,"1 existing edit_history row(s)"
24090665,replace,"1 existing edit_history row(s)"
24090666,replace,"1 existing edit_history row(s)"
24090667,replace,"1 existing edit_history row(s)"
24090668,replace,"1 existing edit_history row(s)"
24090669,replace,"1 existing edit_history row(s)"
24090674,replace,"1 existing edit_history row(s)"
24090675,replace,"1 existing edit_history row(s)"
24090679,replace,"1 existing edit_history row(s)"
24090680,replace,"1 existing edit_history row(s)"
24090685,replace,"1 existing edit_history row(s)"
24090686,replace,"1 existing edit_history row(s)"
24090688,replace,"1 existing edit_history row(s)"
24090690,replace,"1 existing edit_history row(s)"
24090691,replace,"1 existing edit_history row(s)"
24090693,replace,"1 existing edit_history row(s)"
24090694,replace,"1 existing edit_history row(s)"
24090697,replace,"1 existing edit_history row(s)"
24090700,replace,"1 existing edit_history row(s)"
24090701,replace,"1 existing edit_history row(s)"
24090703,replace,"1 existing edit_history row(s)"
24090704,replace,"1 existing edit_history row(s)"
24090707,replace,"1 existing edit_history row(s)"
24090712,replace,"1 existing edit_history row(s)"
24090714,replace,"1 existing edit_history row(s)"
24090715,replace,"1 existing edit_history row(s)"
24090720,replace,"1 existing edit_history row(s)"
24090724,replace,"1 existing edit_history row(s)"
24090725,replace,"1 existing edit_history row(s)"
24090726,replace,"1 existing edit_history row(s)"
24090727,replace,"1 existing edit_history row(s)"
24090728,replace,"1 existing edit_history row(s)"
24090729,replace,"1 existing edit_history row(s)"
24090732,replace,"1 existing edit_history row(s)"
24090733,replace,"1 existing edit_history row(s)"
24090734,replace,"1 existing edit_history row(s)"
24090740,replace,"1 existing edit_history row(s)"
24090750,replace,"1 existing edit_history row(s)"
24090752,replace,"1 existing edit_history row(s)"
24090755,replace,"1 existing edit_history row(s)"
24090756,replace,"1 existing edit_history row(s)"
24090764,replace,"1 existing edit_history row(s)"
24090766,replace,"1 existing edit_history row(s)"
24090767,replace,"1 existing edit_history row(s)"
24090768,replace,"1 existing edit_history row(s)"
24090770,replace,"1 existing edit_history row(s)"
24090771,replace,"1 existing edit_history row(s)"
24090772,replace,"1 existing edit_history row(s)"
24090775,replace,"1 existing edit_history row(s)"
24090776,replace,"1 existing edit_history row(s)"
24090777,replace,"1 existing edit_history row(s)"
24090778,replace,"1 existing edit_history row(s)"
24090780,replace,"1 existing edit_history row(s)"
24090782,replace,"1 existing edit_history row(s)"
24090785,replace,"1 existing edit_history row(s)"
24090795,replace,"1 existing edit_history row(s)"
24090796,replace,"1 existing edit_history row(s)"
24090797,replace,"1 existing edit_history row(s)"
24090799,replace,"1 existing edit_history row(s)"
24090800,replace,"1 existing edit_history row(s)"
24090802,replace,"1 existing edit_history row(s)"
24090803,replace,"1 existing edit_history row(s)"
24090804,replace,"1 existing edit_history row(s)"
24090805,replace,"1 existing edit_history row(s)"
24090806,replace,"1 existing edit_history row(s)"
24090807,replace,"1 existing edit_history row(s)"
24090811,replace,"1 existing edit_history row(s)"
24090815,replace,"1 existing edit_history row(s)"
24090817,replace,"1 existing edit_history row(s)"
24090818,replace,"1 existing edit_history row(s)"
24090823,replace,"1 existing edit_history row(s)"
24090825,replace,"1 existing edit_history row(s)"
24090830,replace,"1 existing edit_history row(s)"
24090833,replace,"1 existing edit_history row(s)"
24090834,replace,"1 existing edit_history row(s)"
24090840,replace,"1 existing edit_history row(s)"
24090842,replace,"1 existing edit_history row(s)"
24090849,replace,"1 existing edit_history row(s)"
24090850,replace,"1 existing edit_history row(s)"
24090851,replace,"1 existing edit_history row(s)"
24090852,replace,"1 existing edit_history row(s)"
24090853,replace,"1 existing edit_history row(s)"
24090854,replace,"1 existing edit_history row(s)"
24090861,replace,"1 existing edit_history row(s)"
24090862,replace,"1 existing edit_history row(s)"
24090863,replace,"1 existing edit_history row(s)"
24090867,replace,"1 existing edit_history row(s)"
24090868,replace,"1 existing edit_history row(s)"
24090871,replace,"1 existing edit_history row(s)"
24090874,replace,"1 existing edit_history row(s)"
24090875,replace,"1 existing edit_history row(s)"
24090876,replace,"1 existing edit_history row(s)"
24090877,replace,"1 existing edit_history row(s)"
24090880,replace,"1 existing edit_history row(s)"
24090885,replace,"1 existing edit_history row(s)"
24090887,replace,"1 existing edit_history row(s)"
24090890,replace,"1 existing edit_history row(s)"
24090892,replace,"1 existing edit_history row(s)"
24090894,replace,"1 existing edit_history row(s)"
24090896,replace,"1 existing edit_history row(s)"
24090898,replace,"1 existing edit_history row(s)"
24090906,replace,"1 existing edit_history row(s)"
24090907,replace,"1 existing edit_history row(s)"
24090908,replace,"1 existing edit_history row(s)"
24090909,replace,"1 existing edit_history row(s)"
24090910,replace,"1 existing edit_history row(s)"
24090918,replace,"1 existing edit_history row(s)"
24090919,replace,"1 existing edit_history row(s)"
24090921,replace,"1 existing edit_history row(s)"
24090931,replace,"1 existing edit_history row(s)"
24090935,replace,"1 existing edit_history row(s)"
24090936,replace,"1 existing edit_history row(s)"
24090941,replace,"1 existing edit_history row(s)"
24090943,replace,"1 existing edit_history row(s)"
24090944,replace,"1 existing edit_history row(s)"
24090945,replace,"1 existing edit_history row(s)"
24090946,replace,"1 existing edit_history row(s)"
24090947,replace,"1 existing edit_history row(s)"
24090950,replace,"1 existing edit_history row(s)"
24090951,replace,"1 existing edit_history row(s)"
24090952,replace,"1 existing edit_history row(s)"
24090965,replace,"1 existing edit_history row(s)"
24090966,replace,"1 existing edit_history row(s)"
24090969,replace,"1 existing edit_history row(s)"
24090972,replace,"1 existing edit_history row(s)"
24090974,replace,"1 existing edit_history row(s)"
24090979,replace,"1 existing edit_history row(s)"
24090982,replace,"1 existing edit_history row(s)"
24090985,replace,"1 existing edit_history row(s)"
24090986,replace,"1 existing edit_history row(s)"
24090987,replace,"1 existing edit_history row(s)"
24090989,replace,"1 existing edit_history row(s)"
24090990,replace,"1 existing edit_history row(s)"
24091000,replace,"1 existing edit_history row(s)"
24091001,replace,"1 existing edit_history row(s)"
24091003,replace,"1 existing edit_history row(s)"
24091004,replace,"1 existing edit_history row(s)"
24091007,replace,"1 existing edit_history row(s)"
24091008,replace,"1 existing edit_history row(s)"
24091009,replace,"1 existing edit_history row(s)"
24091012,replace,"1 existing edit_history row(s)"
24091017,replace,"1 existing edit_history row(s)"
24091018,replace,"1 existing edit_history row(s)"
24091019,replace,"1 existing edit_history row(s)"
24091020,replace,"1 existing edit_history row(s)"
24091021,replace,"1 existing edit_history row(s)"
24091022,replace,"1 existing edit_history row(s)"
24091023,replace,"1 existing edit_history row(s)"
24091024,replace,"1 existing edit_history row(s)"
24091025,replace,"1 existing edit_history row(s)"
24091028,replace,"1 existing edit_history row(s)"
24091029,replace,"1 existing edit_history row(s)"
24091030,replace,"1 existing edit_history row(s)"
24091037,replace,"1 existing edit_history row(s)"
24091047,replace,"1 existing edit_history row(s)"
24091048,replace,"1 existing edit_history row(s)"
24091049,replace,"1 existing edit_history row(s)"
24091052,replace,"1 existing edit_history row(s)"
24091055,replace,"1 existing edit_history row(s)"
24091065,replace,"1 existing edit_history row(s)"
24091072,replace,"1 existing edit_history row(s)"
24091075,replace,"1 existing edit_history row(s)"
24091076,replace,"1 existing edit_history row(s)"
24091078,replace,"1 existing edit_history row(s)"
24091083,replace,"1 existing edit_history row(s)"
24091086,replace,"1 existing edit_history row(s)"
24091089,replace,"1 existing edit_history row(s)"
24091090,replace,"1 existing edit_history row(s)"
24091091,replace,"1 existing edit_history row(s)"
24091093,replace,"1 existing edit_history row(s)"
24091096,replace,"1 existing edit_history row(s)"
24091098,replace,"1 existing edit_history row(s)"
24091101,replace,"1 existing edit_history row(s)"
24091112,replace,"1 existing edit_history row(s)"
24091114,replace,"1 existing edit_history row(s)"
24091116,replace,"1 existing edit_history row(s)"
24091126,replace,"1 existing edit_history row(s)"
24091128,replace,"1 existing edit_history row(s)"
24091129,replace,"1 existing edit_history row(s)"
24091130,replace,"1 existing edit_history row(s)"
24091131,replace,"1 existing edit_history row(s)"
24091135,replace,"1 existing edit_history row(s)"
24091136,replace,"1 existing edit_history row(s)"
24091138,replace,"1 existing edit_history row(s)"
24091139,replace,"1 existing edit_history row(s)"
24091140,replace,"1 existing edit_history row(s)"
24091141,replace,"1 existing edit_history row(s)"
24091143,replace,"1 existing edit_history row(s)"
24091145,replace,"1 existing edit_history row(s)"
24091146,replace,"1 existing edit_history row(s)"
24091147,replace,"1 existing edit_history row(s)"
24091148,replace,"1 existing edit_history row(s)"
24091149,replace,"1 existing edit_history row(s)"
24091150,replace,"1 existing edit_history row(s)"
24091152,replace,"1 existing edit_history row(s)"
24091153,replace,"1 existing edit_history row(s)"
24091154,replace,"1 existing edit_history row(s)"
24091157,replace,"1 existing edit_history row(s)"
24100009,replace,"1 existing edit_history row(s)"
24100011,replace,"1 existing edit_history row(s)"
24100015,replace,"1 existing edit_history row(s)"
24100020,replace,"1 existing edit_history row(s)"
24100021,replace,"1 existing edit_history row(s)"
24100022,replace,"1 existing edit_history row(s)"
24100025,replace,"1 existing edit_history row(s)"
24100027,replace,"1 existing edit_history row(s)"
24100031,replace,"1 existing edit_history row(s)"
24100033,replace,"1 existing edit_history row(s)"
24100035,replace,"1 existing edit_history row(s)"
24100049,replace,"1 existing edit_history row(s)"
24100055,replace,"1 existing edit_history row(s)"
24100060,replace,"1 existing edit_history row(s)"
24100061,replace,"1 existing edit_history row(s)"
24100062,replace,"1 existing edit_history row(s)"
24100063,replace,"1 existing edit_history row(s)"
24100066,replace,"1 existing edit_history row(s)"
24100072,replace,"1 existing edit_history row(s)"
24100073,replace,"1 existing edit_history row(s)"
24100074,replace,"1 existing edit_history row(s)"
24100081,replace,"1 existing edit_history row(s)"
24100084,replace,"1 existing edit_history row(s)"
24100087,replace,"1 existing edit_history row(s)"
24100089,replace,"1 existing edit_history row(s)"
24100091,replace,"1 existing edit_history row(s)"
24100096,replace,"1 existing edit_history row(s)"
